row_type,key,name,description,status,display_order,brand,category,sub_category,sale_types,inventory_mode,price_iqd,prime_price_iqd,pro_price_iqd,stock,low_stock_threshold,facets,group,value,hex,sku_part,links,image,alt,primary,active,spec.technology,spec.model,spec.build_volume,spec.print_speed,spec.resolution,spec.nozzle,spec.supported_materials,spec.power,spec.dimensions,spec.weight,spec.connectivity,spec.compatibility,spec.warranty,spec.in_the_box,spec.nozzle_temp_max,spec.bed_temp_max,spec.extruders,spec.enclosed,spec.auto_leveling,spec.multi_color
product,perm-fixture-zzwnp0,Perm Fixture zzwnp0 (edited by assistant),A product whose cost only the owner may see.,active,0,,FDM Printers,,direct_sale,BASE,900000,880000,850000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,E2E-03f1df,E2E Printer 03f1df,Nozzle diameter: 0.4 mm,active,5,E2E Brand 03f1df,FDM Printers,,direct_sale|pre_order,COLOR,900000,870000,850000,9,2,,,,,,,,,,,FDM,,256x256x256,,,,,,,,,,,,,,,,,
option,E2E-03f1df,,,,,,,,,,,,,,,,Printer,A1,,A1,,,,,yes,,,,,,,,,,,,,,,,,,,,
option,E2E-03f1df,,,,,,,,,,,,,,,,Plug,EU,,EU,,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-03f1df,,,,,,,,,,,,,4,,,,Black,#101010,,Plug:EU|Printer:A1,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-03f1df,,,,,,,,,,,,,5,,,,White,#fafafa,,,,,,yes,,,,,,,,,,,,,,,,,,,,
image,E2E-03f1df,,,,,,,,,,,,,,,,,,,,,/files/products/import/c414cd0e204de974f73753c7e28d7638e7b3691bb8b1a2bab6b25bb7fed7ce77.png,front,yes,,,,,,,,,,,,,,,,,,,,,
image,E2E-03f1df,,,,,,,,,,,,,,,,,,,,color:Black,/files/products/import/e7355d3cfb652cc244e6d33ecaceef8231b31e5c80dd6a1d44aa3bb93b3b8981.png,black,no,,,,,,,,,,,,,,,,,,,,,
product,E2E-05j7zv,E2E Printer 05j7zv,Nozzle diameter: 0.4 mm,active,5,E2E Brand 05j7zv,FDM Printers,,direct_sale|pre_order,COLOR,900000,870000,850000,9,2,,,,,,,,,,,FDM,,256x256x256,,,,,,,,,,,,,,,,,
option,E2E-05j7zv,,,,,,,,,,,,,,,,Printer,A1,,A1,,,,,yes,,,,,,,,,,,,,,,,,,,,
option,E2E-05j7zv,,,,,,,,,,,,,,,,Plug,EU,,EU,,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-05j7zv,,,,,,,,,,,,,4,,,,Black,#101010,,Printer:A1|Plug:EU,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-05j7zv,,,,,,,,,,,,,5,,,,White,#fafafa,,,,,,yes,,,,,,,,,,,,,,,,,,,,
image,E2E-05j7zv,,,,,,,,,,,,,,,,,,,,,/files/products/import/c414cd0e204de974f73753c7e28d7638e7b3691bb8b1a2bab6b25bb7fed7ce77.png,front,yes,,,,,,,,,,,,,,,,,,,,,
image,E2E-05j7zv,,,,,,,,,,,,,,,,,,,,color:Black,/files/products/import/e7355d3cfb652cc244e6d33ecaceef8231b31e5c80dd6a1d44aa3bb93b3b8981.png,black,no,,,,,,,,,,,,,,,,,,,,,
product,E2E-iv4k7f,E2E Printer iv4k7f,Nozzle diameter: 0.4 mm,active,5,E2E Brand iv4k7f,FDM Printers,,direct_sale|pre_order,COLOR,900000,870000,850000,9,2,,,,,,,,,,,FDM,,256x256x256,,,,,,,,,,,,,,,,,
option,E2E-iv4k7f,,,,,,,,,,,,,,,,Printer,A1,,A1,,,,,yes,,,,,,,,,,,,,,,,,,,,
option,E2E-iv4k7f,,,,,,,,,,,,,,,,Plug,EU,,EU,,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-iv4k7f,,,,,,,,,,,,,4,,,,Black,#101010,,Plug:EU|Printer:A1,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-iv4k7f,,,,,,,,,,,,,5,,,,White,#fafafa,,,,,,yes,,,,,,,,,,,,,,,,,,,,
image,E2E-iv4k7f,,,,,,,,,,,,,,,,,,,,,/files/products/import/c414cd0e204de974f73753c7e28d7638e7b3691bb8b1a2bab6b25bb7fed7ce77.png,front,yes,,,,,,,,,,,,,,,,,,,,,
image,E2E-iv4k7f,,,,,,,,,,,,,,,,,,,,color:Black,/files/products/import/e7355d3cfb652cc244e6d33ecaceef8231b31e5c80dd6a1d44aa3bb93b3b8981.png,black,no,,,,,,,,,,,,,,,,,,,,,
product,perm-fixture-fquclv,Perm Fixture fquclv,A product whose cost only the owner may see.,active,0,,FDM Printers,,direct_sale,BASE,900000,880000,850000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,perm-fixture-8gntqm,Perm Fixture 8gntqm,A product whose cost only the owner may see.,active,0,,FDM Printers,,direct_sale,BASE,900000,880000,850000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,E2E-oy8cwg,E2E Printer oy8cwg,Nozzle diameter: 0.4 mm,active,5,E2E Brand oy8cwg,FDM Printers,,direct_sale|pre_order,COLOR,900000,870000,850000,9,2,,,,,,,,,,,FDM,,256x256x256,,,,,,,,,,,,,,,,,
option,E2E-oy8cwg,,,,,,,,,,,,,,,,Printer,A1,,A1,,,,,yes,,,,,,,,,,,,,,,,,,,,
option,E2E-oy8cwg,,,,,,,,,,,,,,,,Plug,EU,,EU,,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-oy8cwg,,,,,,,,,,,,,4,,,,Black,#101010,,Plug:EU|Printer:A1,,,,yes,,,,,,,,,,,,,,,,,,,,
color,E2E-oy8cwg,,,,,,,,,,,,,5,,,,White,#fafafa,,,,,,yes,,,,,,,,,,,,,,,,,,,,
image,E2E-oy8cwg,,,,,,,,,,,,,,,,,,,,,/files/products/import/c414cd0e204de974f73753c7e28d7638e7b3691bb8b1a2bab6b25bb7fed7ce77.png,front,yes,,,,,,,,,,,,,,,,,,,,,
image,E2E-oy8cwg,,,,,,,,,,,,,,,,,,,,color:Black,/files/products/import/e7355d3cfb652cc244e6d33ecaceef8231b31e5c80dd6a1d44aa3bb93b3b8981.png,black,no,,,,,,,,,,,,,,,,,,,,,
